8 54 962 1164 63
8 51 4343 48 28
8 50 4213 46 27
8 51 4332 54 28
8 49 2341 49 28
8 51 2394 49 34
8 52 2340 45 27
8 50 2328 40 34
16 301 4548 112 65
16 293 2435 85 62
16 286 2520 81 62
16 293 2405 80 62
16 285 2409 81 61
16 287 2437 91 64
16 293 2532 99 65
16 323 2475 92 63
32 10410 4685 208 172
32 2046 4531 200 167
32 2023 6181 197 166
32 2031 3570 188 167
32 2023 2376 195 167
32 2033 2322 197 167
32 2028 1831 187 166
32 2027 2204 205 171
64 15581 10126 543 538
64 15245 13769 520 482
64 15538 14248 520 514
64 15422 10507 310 267
64 8341 4569 328 269
64 7959 4564 333 271
64 8065 4545 311 268
64 8139 4485 324 270
128 68751 17084 2386 2029
128 123775 74435 19551 5510
128 214008 45505 1371 1912
128 123613 82793 9043 3043
128 243441 60806 14056 2006
128 235726 36050 3703 6291
128 238678 76359 5975 8714
128 123963 91050 2046 2165
256 782465 153099 13785 7142
256 667879 55779 1661 2287
256 263968 42711 1651 2190
256 259538 41477 1589 2190
256 258532 39813 1589 2197
256 260030 42028 1665 2154
256 269579 41568 1614 2189
256 264645 40236 1654 2196
512 1.2816e+06 359550 6600 8693
512 1.30735e+06 388705 6495 8735
512 1.31302e+06 351277 6669 8926
512 1.27195e+06 359951 6533 8881
512 1.29286e+06 352110 6539 8758
512 1.276e+06 356206 6840 8916
512 1.32754e+06 365627 6622 8914
512 1.29984e+06 339724 6445 8752
